                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.108,                0.95404,                 1.2263,                0.87431,                0.84796,                0.89711,                0.63986,                 1.0368,                0.61182,                 1.1362,               0.008845,               0.008845,               0.008845
                     37,                 1.1039,                0.94901,                 1.2252,                0.87369,                 0.8485,                0.89723,                0.64016,                 1.0361,                0.61046,                 1.1354,               0.008812,               0.008812,               0.008812
                     38,                 1.0996,                0.95016,                 1.2237,                0.87464,                0.84915,                0.89772,                0.64058,                 1.0361,                 0.6098,                  1.135,               0.008779,               0.008779,               0.008779
                     39,                 1.1054,                0.95057,                 1.2248,                 0.8773,                0.84772,                0.89801,                0.64106,                 1.0361,                0.60858,                 1.1344,               0.008746,               0.008746,               0.008746
                     40,                 1.1023,                0.94617,                 1.2247,                0.87693,                0.84848,                0.89834,                0.64153,                 1.0358,                0.60714,                 1.1339,               0.008713,               0.008713,               0.008713
                     41,                 1.1044,                0.94473,                 1.2231,                0.87729,                0.84864,                0.89884,                0.64229,                  1.035,                0.60557,                 1.1329,                0.00868,                0.00868,                0.00868
                     42,                 1.1024,                0.94088,                 1.2253,                0.87674,                0.85029,                0.89914,                0.64268,                 1.0341,                0.60395,                 1.1322,               0.008647,               0.008647,               0.008647
                     43,                 1.0987,                0.94044,                 1.2198,                0.87785,                0.84952,                0.89951,                0.64325,                 1.0335,                0.60227,                 1.1314,               0.008614,               0.008614,               0.008614
                     44,                 1.0986,                0.94039,                 1.2228,                0.87472,                0.85251,                0.89965,                0.64407,                 1.0329,                0.60078,                 1.1314,               0.008581,               0.008581,               0.008581
                     45,                 1.0979,                0.93838,                 1.2242,                0.87567,                0.85213,                0.89995,                 0.6442,                 1.0327,                0.59963,                 1.1314,               0.008548,               0.008548,               0.008548
                     46,                 1.0977,                0.93837,                 1.2217,                0.87647,                0.85233,                 0.9004,                0.64482,                 1.0322,                0.59855,                 1.1313,               0.008515,               0.008515,               0.008515
                     47,                 1.0958,                0.93738,                 1.2229,                0.87795,                0.85136,                0.90058,                0.64527,                 1.0318,                0.59744,                 1.1311,               0.008482,               0.008482,               0.008482
                     48,                 1.0914,                0.93507,                 1.2216,                 0.8784,                0.85163,                0.90088,                0.64552,                 1.0312,                0.59666,                 1.1308,               0.008449,               0.008449,               0.008449
                     49,                 1.0946,                0.93084,                 1.2202,                0.87399,                0.85571,                0.90111,                0.64598,                 1.0303,                0.59569,                 1.1303,               0.008416,               0.008416,               0.008416
                     50,                   1.09,                0.92505,                 1.2186,                0.87445,                0.85664,                0.90097,                0.64592,                   1.03,                0.59509,                   1.13,               0.008383,               0.008383,               0.008383
                     51,                 1.0963,                0.92659,                 1.2199,                0.87507,                0.85557,                0.90129,                0.64623,                 1.0298,                0.59397,                 1.1299,                0.00835,                0.00835,                0.00835
                     52,                 1.0946,                0.92876,                 1.2213,                0.87684,                0.85531,                0.90129,                0.64646,                 1.0297,                0.59296,                 1.1298,               0.008317,               0.008317,               0.008317
                     53,                 1.0922,                0.92582,                  1.218,                0.87546,                0.85682,                0.90168,                0.64703,                 1.0297,                0.59203,                 1.1299,               0.008284,               0.008284,               0.008284
                     54,                 1.0888,                0.92081,                 1.2166,                 0.8751,                0.85862,                0.90185,                0.64718,                 1.0296,                0.59138,                   1.13,               0.008251,               0.008251,               0.008251
                     55,                 1.0904,                0.91955,                 1.2162,                0.87571,                0.85925,                0.90235,                0.64745,                 1.0294,                0.59039,                 1.1299,               0.008218,               0.008218,               0.008218
